Key,Id,English(en),Spanish(es),Italian(it),French(fr),Polish(pl),Ukrainian(uk),Russian(ru),German(de),Hungarian(hu),Romanian(ro),Arabic(ar)
"antura_target.desc",20620920681914372,"If you see this, go to it. it might be something important!","Si ves esto, ve a verlo. ¡Puede ser algo importante!","Se vedi questo, vai lì. Potrebbe essere qualcosa di importante!","Quand tu la vois, Vas-y. Ça peut être important !","Jeśli to widzisz, idź tam. Może to być coś ważnego!","Якщо ви бачите це, перейдіть до нього. може бути щось важливе!","Если вы это видите, перейдите по ссылке. Это может быть что-то важное!","Wenn Sie das sehen, gehen Sie dorthin. Es könnte etwas Wichtiges sein!","Ha ezt látod, menj hozzá. lehet valami fontos!","Dacă vezi asta, mergi la el. ar putea fi ceva important!","إذا رأيت هذا، اذهب إليه، فقد يكون شيئًا مهمًا!"
"antura.desc",20437989829107719,"The main character of this videogame","El personaje principal de este videojuego","Il personaggio principale di questo videogioco","C'est le personnage principal de ce jeu vidéo.","Główny bohater tej gry wideo","Головний герой цієї відеоігри","Главный герой этой видеоигры","Die Hauptfigur dieses Videospiels","Ennek a videojátéknak a főszereplője","Personajul principal al acestui joc video","الشخصية الرئيسية في لعبة الفيديو هذه"
"arc_de_triomphe",16699856495042560,"Arc De Triomphe","Arco del Triunfo","Arco di Trionfo","L'Arc de Triomphe","Łuk Triumfalny","Тріумфальна арка","Триумфальная арка","Arc De Triomphe","Diadalív","Arcul de Triumf","قوس النصر"
"arc_de_triomphe.desc",16699856495042561,"A grand arch in Paris, built to honor heroes. You can see it shining at the end of a long avenue!","Un gran arco en París, construido para honrar a los héroes. ¡Puedes verlo brillar al final de una larga avenida!","Un grande arco a Parigi, costruito in onore degli eroi. Lo si può vedere splendere alla fine di un lungo viale!","C'est une grande arche à Paris, construite en l'honneur des héros. On peut la voir briller au bout d'une longue avenue !","Wielki łuk w Paryżu wzniesiony ku czci bohaterów. Lśni tak, że widać go z drugiego końca długiej alei!","Велична арка в Парижі, побудована на честь героїв. Ви можете побачити, як воно сяє в кінці довгого проспекту!","Величественная арка в Париже, воздвигнутая в честь героев. Вы можете увидеть её сияние в конце длинной аллеи!","Ein großer Bogen in Paris, der zu Ehren der Helden errichtet wurde. Sie können ihn am Ende einer langen Allee leuchten sehen!","Nagy ív Párizsban, amelyet a hősök tiszteletére építettek. Láthatod, ahogy ragyog egy hosszú sugárút végén!","Un arc măreț din Paris, construit pentru a onora eroii. Îl poți vedea strălucind la capătul unui bulevard lung!","قوسٌ عظيمٌ في باريس، بُني لتكريم الأبطال. يُمكنك رؤيته مُشرقًا في نهاية شارعٍ طويل!"
"armor",8827921438334980,"Armor","Armadura","Armatura","Une armure","Zbroja","Броня","Броня","Rüstung","Páncél","Armură","درع"
"armor.desc",8827921438334981,"Protective metal clothing for a knight.","Ropa protectora metálica para caballero.","Indumento protettivo in metallo per un cavaliere.","C'est un habit en fer qui protège le chevalier.","Metalowy ubiór ochronny dla rycerza.","Захисний металевий одяг для лицаря.","Защитная металлическая одежда рыцаря.","Schützende Metallkleidung für einen Ritter.","Fém védőruha lovagnak.","Îmbrăcăminte metalică de protecție pentru un cavaler.","ملابس معدنية واقية للفارس."
"arrows",8827921438334982,"Arrows","Flechas","Frecce","Les flèches","Strzały","Стрілки","Стрелки","Pfeile","Nyilak","Săgeți","السهام"
"arrows.desc",8827921438334983,"Sharp sticks shot from a bow.","Palos afilados disparados desde un arco.","Bastoni appuntiti scagliati da un arco.","On tire les flèches avec un arc.","Ostre patyki wystrzeliwane z łuku.","Гострі палиці, стріляні з лука.","Острые палки, стреляемые из лука.","Scharfe Stöcke, die mit einem Bogen abgefeuert werden.","Éles botok íjból lövöldöztek.","Bețe ascuțite trase dintr-un arc.","العصي الحادة التي يتم إطلاقها من القوس."
"art_liberty_leading_the_people",7717548261892104,"Liberty Leading the People","La libertad guiando al pueblo","La libertà che guida il popolo","La liberté guidant le peuple","Wolność wiodąca lud na barykady","Свобода веде людей","Свобода, ведущая народ","Die Freiheit führt das Volk","Szabadság vezeti a népet","Libertatea conduce poporul","الحرية تقود الشعب"
"art_liberty_leading_the_people.desc",7717548261892105,"A famous painting about freedom and courage. It shows a brave woman holding the French flag and leading people to fight for their rights.","Una famosa pintura sobre la libertad y el coraje. Muestra a una mujer valiente sosteniendo la bandera francesa y liderando a la gente en la lucha por sus derechos.","Un famoso dipinto sulla libertà e il coraggio. Mostra una donna coraggiosa che regge la bandiera francese e guida il popolo nella lotta per i propri diritti.","Un tableau très connu sur la liberté et le courage. Il représente une femme courageuse, la liberté, qui tient le drapeau français.","Słynny obraz o wolności i odwadze. Przedstawia odważną kobietę trzymającą flagę Francji i prowadzącą ludzi do walki o swoje prawa.","Відома картина про свободу і мужність. На ньому зображена відважна жінка, яка тримає французький прапор і веде людей до боротьби за свої права.","Знаменитая картина о свободе и мужестве. На ней изображена отважная женщина, держащая французский флаг и ведущая людей на борьбу за свои права.","Ein berühmtes Gemälde über Freiheit und Mut. Es zeigt eine mutige Frau, die die französische Flagge hält und die Menschen anführt, für ihre Rechte zu kämpfen.","Híres festmény a szabadságról és a bátorságról. Egy bátor nőt ábrázol, aki a francia zászlót tartja, és az embereket a jogaikért való küzdelemre vezeti.","Un tablou celebru despre libertate și curaj. Prezintă o femeie curajoasă ținând steagul francez și conducând oamenii să lupte pentru drepturile lor.","لوحة شهيرة عن الحرية والشجاعة. تُظهر امرأة شجاعة تحمل العلم الفرنسي وتقود الشعب للنضال من أجل حقوقه."
"art_monalisa",7717548261892106,"Mona Lisa","Mona Lisa","Monna Lisa","La Joconde","Mona Lisa","Мона Ліза","Мона Лиза","Mona Lisa","Mona Lisa","Mona Lisa","الموناليزا"
"art_monalisa.desc",7553696484286464,"The most famous painting in the world! A woman with a mysterious smile painted by Leonardo da Vinci. She seems to follow you with her eyes.","¡La pintura más famosa del mundo! Una mujer con una sonrisa misteriosa, pintada por Leonardo da Vinci. Parece seguirte con la mirada.","Il dipinto più famoso del mondo! Una donna dal sorriso misterioso dipinta da Leonardo da Vinci. Sembra seguirti con lo sguardo.","Le tableau le plus connu du monde ! Une femme au sourire mystérieux, peinte par Léonard de Vinci. Elle semble vous suivre du regard.","Najsłynniejszy obraz świata! Kobieta o tajemniczym uśmiechu namalowana przez Leonarda da Vinci. Wydaje się, że śledzi cię wzrokiem.","Найвідоміша картина в світі! Жінка із загадковою усмішкою, яку намалював Леонардо да Вінчі. Вона ніби стежить за тобою очима.","Самая известная картина в мире! Женщина с загадочной улыбкой, написанная Леонардо да Винчи. Кажется, она следит за вами взглядом.","Das berühmteste Gemälde der Welt! Eine Frau mit einem geheimnisvollen Lächeln, gemalt von Leonardo da Vinci. Sie scheint einem mit ihren Augen zu folgen.","A világ leghíresebb festménye! Leonardo da Vinci által festett titokzatos mosolyú nő. Úgy tűnik, követ téged a szemével.","Cel mai faimos tablou din lume! O femeie cu un zâmbet misterios pictată de Leonardo da Vinci. Ea pare să te urmărească cu ochii.","أشهر لوحة في العالم! امرأة بابتسامة غامضة رسمها ليوناردو دافنشي. تبدو وكأنها تتبعك بعينيها."
"art_venus_milo",7717548261892107,"Venus de Milo","Venus de Milo","Venere di Milo","La Vénus de Milo","Wenus z Milo","Венера Мілоська","Венера Милосская","Venus von Milo","Milo Vénusz","Venus de Milo","فينوس دي ميلو"
"art_venus_milo.desc",7717548261892108,"A beautiful ancient statue of a woman made from white marble. Her arms are missing but she is still considered one of the most beautiful statues ever made.","Una hermosa estatua antigua de una mujer, hecha de mármol blanco. Le faltan los brazos, pero aun así se considera una de las estatuas más hermosas jamás realizadas.","Una splendida statua antica di donna in marmo bianco. Le mancano le braccia, ma è comunque considerata una delle statue più belle mai realizzate.","C'est une très belle statue de femme. Elle n'a pas de bras.","Piękna, starożytna statua kobiety wykonana z białego marmuru. Brakuje jej ramion, ale i tak jest uważana za jedną z najpiękniejszych rzeźb, jakie kiedykolwiek powstały.","Красива старовинна статуя жінки з білого мармуру. Її руки відсутні, але вона все ще вважається однією з найкрасивіших статуй, коли-небудь створених.","Прекрасная древняя статуя женщины из белого мрамора. Руки у неё отсутствуют, но она по-прежнему считается одной из самых красивых статуй, когда-либо созданных.","Eine wunderschöne antike Frauenstatue aus weißem Marmor. Ihre Arme fehlen, dennoch gilt sie als eine der schönsten Statuen aller Zeiten.","Egy gyönyörű ősi női szobor fehér márványból. A karjai hiányoznak, de még mindig a valaha készült egyik legszebb szobornak tartják.","O frumoasă statuie antică a unei femei făcută din marmură albă. Brațele îi lipsesc, dar este considerată în continuare una dintre cele mai frumoase statui realizate vreodată.","تمثال عتيق جميل لامرأة من الرخام الأبيض. ذراعاها مفقودتان، لكنها لا تزال تُعتبر من أجمل التماثيل التي صُنعت على الإطلاق."
